Consumer.No,Status,Name,Mobile,State,City,Discom,Sub_Division,SubStation,Address,Latitude/Longitude,New_Mtr.No,Agency,Field_Engg.,Field_User,Install_Date,Mtr_Make,Mtr_Type,Mtr_Model,BodySeal.No,TerminalSeal.No,ModemSeal.No,Box_Seal.No,Sim.No,Sim_IMEI.No,Initial_Reading,Closing_Reading,Final Reading-KWH,Final Reading-KVAH,Final Reading-KVA,Final Reading-KW,LTCTRatio,Sealed,GPSSignal,SIMPID,CM_NewMtrMF,con_mail,ins_remark,OLDMtrNo,OldMtrMake,Mtr.Location,Mtr.Feasibility,Exception,MeterStatus,CertifyPageNo,VerifiedMobile No.
603220000,MI Hold By L&T,PARDEEP KUMAR,995209303,Pun,Amsar,PCL,SDO21312,1146,#2129/4-5 G.F. ABC HR IND,29.6663663/76.9973712,GP4456828,SDO21312,SDO21312,XYZ,07-Mar-19,123,1-Phase,SKM-145,E2668721,6138023,L6210641,E2668722/,#899101000090101623,#8637090242101,0,0,11721,,0,0,1,1,,0,1,123@gmail.com,sticker N/A,532513,123,Out,,,,0,995209303
7258420000,L&T,RAM PHAL,995609303,Pun,Amsar,PCL,SDO21312,1146,"2141/4,G.F,H.B.,KNL ABC HR IND",29.6668063/76.9950872,GP4456717,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668734,6130913,L6120432,E2668733/,#899101000090101622,#8637090243854,0,0,10507,,0,0,1,1,,0,1,1223@gmail.com,,431695,123,Out,,,,0,995609303
6406520000,L&T,MOHIT MALIK,9467658159,Pun,Amsar,PCL,SDO21312,1146,#2143/4 G.F.KNL ABC HR IND,29.6676948/76.9932873,GP4456721,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668739,6130156,L6120746,E2668741/,#899101000090101622,#8637090243963,0,0,6568,,0,0,1,1,,0,1,@gmail.com,,5257077,123,Out,,,,0,9467658159
6948420000,L&T,JAGDEV SAHAI,985549002,Pun,Amsar,PCL,SDO21312,1146,#1762/4 F.F HBC ABC HR IND,29.6660953/76.9970298,GP4457177,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668727,6130663,L6122671,E2668728/,#899101000090101622,#8637090241854,0,0,7581.7,,0,0,1,1,,0,1,1234@gmail.com,,hrt38558,123,Out,,,,0,985549002
6326020000,L&T,SMT.KAMLESH,948658159,Pun,Amsar,PCL,SDO21312,1146,"2173/4,F.FLOOR H.B,KNL ABC HR IND",29.6662914/76.9976616,GP4456805,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668713,6130360,L6120176,E2668714/,#899101000090101621,#8637090243092,0,0,1615,,0,0,1,1,,0,1,123@gmail.com,,38601372,123,Out,,,,0,948658159
5326020000,L&T,SMT.POOJA GOEL,941628847,Pun,Amsar,PCL,SDO21312,1146,"2152/4,II TYPE,KNL ABC HR IND",29.6671734/76.9969426,GP4456719,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668745,6130928,L6120849,E2668748/,#899101000090101624,#8637090242748,0,0,4660,,0,0,1,1,,0,1,123@gmail.com,,285912,123,Out,,,,0,941628847
8297910000,L&T,SARBATI DEVI,705678989,Pun,Amsar,PCL,SDO21312,1146,#2138/4 F.F. H.B.C.KNL ABC HR IND,29.6668063/76.9950872,GP4457173,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668731,61390968,L6122588,E2668736/,#899101000090101622,#8637090241547,0,0,23794,,0,0,1,1,,0,1,12e@gmail.com,,553229,123,Out,,,,0,705678989
6258420000,L&T,RAJ KUMAR,903488600,Pun,Amsar,PCL,SDO21312,1146,"2138/4,G.F. H.B.,KNL ABC HR IND",29.6659591/76.9969794,GP4457172,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668728,6139640,6122481,E2668735/,#899101000090101622,#8637090242712,0,0,5738,,0,0,1,1,,0,1,123@gmail.com,,6098020,123,Out,,,,0,903488600
2626020000,L&T,PREM KUMAR BATRA,852922426,Pun,Amsar,PCL,SDO21312,1146,"H.NO-2153 HBC,G.F SEC-4 ABC HR IND",29.6668063/76.9950872,GP4456720,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668743,6130977,L6120359,E2668746/,#899101000090101624,#8637090242530,0,0,7546,,0,0,1,1,,0,1,@gmail6,OK,696780,123,Out,,,,0,852922426
1726020000,L&T,SUMAN RANI,999690797,Pun,Amsar,PCL,SDO21312,1146,#1806/4-5 G.F. ABC HR IND,29.6671734/76.9969426,GP4456451,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668744,6132193,L6117634,E2668747/,#899101000090101624,#8637090243479,0,0,12733,,0,0,1,1,,0,1,134@gmail.com,,hrt31165,123,Out,,,,0,999690797
9455520000,L&T,ROSHNI DEVI,9200000000,Pun,Amsar,PCL,SDO21312,1146,#1761/4-5 G.F LIG II ABC HR IND,29.6661262/76.9970346,GP4457176,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668725,6139629,L6122410,E2668726/,#899101000090101622,#8637090241832,0,0,2844.5,,0,0,1,1,,0,1,123@gmail.com,,38820458,123,Out,,,,0,9200000000
3603220000,L&T,INDU,822290135,Pun,Amsar,PCL,SDO21312,1146,"W/O PARUN,2139/4 G.F.,LIG II,KNL ABC HR IND",29.6660034/76.9970329,GP4456716,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668732,6130112,L6120445,E2668737/,#899101000090101622,#8637090243869,0,0,10765,,0,0,1,1,,0,1,123@gmail.com,,815916,123,Out,,,,0,822290135
5948420000,L&T,GAIN CHAND CHAND,972889065,Pun,Amsar,PCL,SDO21312,1146,H.NO.1761/4 E.F.IIT. H NO 176 ABC HR IND,29.6668063/76.9950872,GP4456827,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668723,61396709,L6120582,E2668724/,#8991010000901016220,#8637090242845,0,0,14093,,0,0,1,1,,0,1,narinderkb53@gmail.com,,231343,123,Out,,,,0,972889065
2992220000,MI Hold By L&T,MAMTA,839703950,Pun,Amsar,PCL,SDO21312,1146,#2143/4 SET F.F. HBC Devi Nagar HR-134109 IND,29.6658427/76.9972154,GP4456718,SDO21312,SDO21312,XYZ,08-Mar-19,123,1-Phase,SKM-145,E2668740,6130102,L2120376,E2668742/,#899101000090101356,#8637090241863,0,0,8185,,0,0,1,1,,0,1,1344@gmail.com,Old Meter No,534690,123,Out,,,,0,839703950
4265520000,L&T,RAMESH KUMAR,999619966,Pun,Amsar,PCL,SDO21312,1146,#2175/4 LIG ABC HR IND,29.6698002/77.0073255,GP4456687,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668770,6138260,L61096487,E2668776/,#899101000090101624,#8637090242834,0,0,13285.4,,0,0,1,1,,0,1,@gmail.com,,572454,123,Out,,,,0,999619966
564333304,L&T,BHAGWAN SINGH,941631040,Pun,Amsar,PCL,SDO21312,1146,2182 SEC 4 G/F ABC ABC HR-132001 IND,29.6667542/76.997581,GP4456593,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668753,na,L6117481,E2668773/,#899101000090101625,#8637090241412,0,0,3301,,0,0,1,1,,0,1,124@gmail.com,OK,6336883,123,Out,,,,0,941631040
2955520000,L&T,ROSHAN LAL,805301057,Pun,Amsar,PCL,SDO21312,1146,"2215/4,LIG,H.B. II F.FLOOR ABC HR IND",29.6665648/76.99778,GP4456691,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668768,6131838,L6120758,E2668774/,#899101000090101624,#8637090243479,0,0,3974,,0,0,1,1,,0,1,@gmail.com,,DO198289,123,Out,,,,0,805301057
6466220000,L&T,JITENDER SINGH,989631864,Pun,Amsar,PCL,SDO21312,1146,#1797/4-II ABC HR IND,29.6698002/77.0073255,GP4456689,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668782,6132194,L6120539,E2668786/,#899101000090101625,#8637090243546,0,0,7071,,0,0,1,1,,0,1,123@gmail.com,,5622349,123,Out,,,,0,989631864
9703220000,L&T,SMT.UPASANA,989624535,Pun,Amsar,PCL,SDO21312,1146,"H.NO.2193/4,G.FLOOR H.B.,KNL ABC HR IND",29.6671303/76.9969139,GP4456686,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668779,6130186,L6120856,E2668785/,#899101000090101624,#8637090243757,0,0,3846,,0,0,1,1,,0,1,@gmail.com,,6096772,123,Out,,,,0,989624535
5235520000,L&T,VIKAS KASAYAT,829537570,Pun,Amsar,PCL,SDO21312,1146,#2213/4-5 G.F. ABC HR IND,29.6666961/76.9974958,GP4456450,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668756,6138715,L6117055,E2668760/,#899101000090101623,#8637090242079,0,0,2849,,0,0,1,1,,0,1,1334@gmail.com,,8202992,123,Out,,,,0,829537570
280220000,L&T,MONIKA W/O ROSHANLAL,999636106,Pun,Amsar,PCL,SDO21312,1146,2193/SEC-4 KNL ABC HR IND,29.6668063/76.9950872,GP4456688,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668778,6130137,L6094084,E2668780/,#899101000090101625,#8637090242046,0,0,8556,,0,0,1,1,,0,1,@gmail.com,,5650365,123,Out,,,,0,999636106
4426020000,L&T,RANBIR SINGH,895000018,Pun,Amsar,PCL,SDO21312,1146,#2177/4-5 G.F ABC HR IND,29.6698002/77.0073255,GP4456594,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668771,na,L6117020,E2668776/,#899101000090101624,#8637090242516,0,0,4874,,0,0,1,1,,0,1,@gmail.com,,330623,123,Out,,,,0,895000018
4895220000,L&T,TUMESH,972911378,Pun,Amsar,PCL,SDO21312,1146,"2144/4,LIG,F.FLOOR H.B,KNL ABC HR IND",29.6663884/76.9971012,GP4456592,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668750,6130983,L6117905,E2668767/,#899101000090101625,#8637090241583,0,0,11644,,0,0,1,1,,0,1,123@gmail.com,,11959526,123,Out,,,,0,972911378
1506520000,L&T,VINAL KAKKAR,972951378,Pun,Amsar,PCL,SDO21312,1146,# 2144/4-II ABC HR IND,29.6663273/76.997171,GP4456591,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668749,6131376,L6117737,E2668766/,#899101000090101623,#8637090243963,0,0,0,,0,0,1,1,,0,1,pritvisharma947@gmail.com,,188120,123,Out,,,,0,972951378
7021011049,L&T,SATISH KUMAR S/O BUDH RAM,946791289,Pun,Amsar,PCL,SDO21312,1146,H.N .2214 G.F SEC 4/5 ABC ABC HR-132001 IND,29.6666883/76.9975234,GP4456447,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668751,6130138,L6117193,E2668762/,#899101000090101623,#8637090242735,0,0,1253,,0,0,1,1,,0,1,133@gmail.com,,644665,123,Out,,,,0,946791289
7406520000,L&T,NITIN ARORA,925414400,Pun,Amsar,PCL,SDO21312,1146,#2180/4 LIG G.F. ABC HR IND,29.6668063/76.9950872,GP4456448,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668755,613877,L6117359,E266864/,#899101000090101623,#8637090242316,0,0,10637,,0,0,1,1,,0,1,@gmail.com,,5259895,123,Out,,,,0,925414400
7006220000,L&T,SANJAY MITTAL,819903464,Pun,Amsar,PCL,SDO21312,1146,#2210/4-5 G.F. KNL ABC HR IND,29.6666877/76.9973492,GP4456590,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668754,6131364,L6117811,E2668761/,#899101000090101623,#8637090243783,0,0,0,,0,0,1,1,,0,1,123@gmail.com,,11959540,123,Out,,,,0,819903464
497910000,L&T,KHUSAM RANI,9190000000,Pun,Amsar,PCL,SDO21312,1146,"#2215/4,G.F. LIG,U.E. ABC HR IND",29.666543947042378/76.99776146560907,GP4456690,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668769,6131808,L6120635,E2668775/,#899101000090101624,#8637090243943,0,0,7089,,0,0,1,1,,0,1,@gmail.com,,843663,123,Out,,,,0,9190000000
2458420000,L&T,KARAM AHUJA,98126786,Pun,Amsar,PCL,SDO21312,1146,2183/4 LIG ABC ABC HR IND,29.6669024/76.9977356,GP4456595,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668752,6138040,L6117950,E2668772/,#899101000090101625,#8637090242836,0,0,13959,,0,0,1,1,,0,1,124@gmail.com,,291348,123,Out,,,,0,98126786
6497910000,Field Engg.,JAGMAHINDER,999195130,Pun,Amsar,PCL,SDO21312,1146,"#2203/4-5,G.F. ABC HR IND",29.6668063/76.9950872,GP4456744,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668781,6130101,L6120688,E2668783/,#899101000090101625,#8637090242697,0,0,19727,,0,0,1,1,,0,1,@gmail.com,OK,284737,123,Out,,,,0,999195130
5995220000,L&T,NARESH KUMAR,9200000000,Pun,Amsar,PCL,SDO21312,1146,"2182/4,F.F.,LIG-II H.B. ABC HR IND",29.6659909/77.0012065,GP4456449,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668758,6130926,L6117377,E2668759/,#899101000090101624,#8637090242321,0,9370,9370,,0,0,1,1,,0,1,123@gmail.com,,479248,123,Out,YES,,,0,9200000000
8529790971,L&T,SHVETA.SINGALA.W/O.KAPIL.SINGALA,972961059,Pun,Amsar,PCL,SDO21312,1488,H.N.2212.FF SEC.4. ABC ABC HR-132001 IND,29.6666968/76.9973306,GP4456446,SDO21312,SDO21312,XYZ,09-Mar-19,123,1-Phase,SKM-145,E2668757,L6117139,L6117139,E2668765/E2668763,#899101000090101623,#8637090242967,0,0,2949,,0,0,1,1,,0,1,1345@gmail.com,,1019857,123,Out,,,,0,972961059
5497910000,L&T,SAROJ BEDI,921566590,Pun,Amsar,PCL,SDO21312,1146,#2132/4 UG ABC HR IND,29.6661843/76.99727,GP4457032,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,L6122726/E2668798,6131886,L6122456,E2668799/,#899101000090101626,#8637090242892,0,0,11101.8,,0,0,1,1,,0,1,gmail.com,,576691,123,Out,,,,0,921566590
6595220000,L&T,RAJ KUMAR,740485116,Pun,Amsar,PCL,SDO21312,1146,"S/O NANHA RAM #1763/4,F.F. ABC HR IND",29.6661752/76.9970416,GP4456743,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,L6120683,6130126,L6120309,E2668784/E2668787,#899101000090101626,#8637090242876,0,0,11247,,0,0,1,1,,0,1,gmail.com,,526197,123,Out,,,,0,740485116
606220000,L&T,HEMANT CHOPRA,903439287,Pun,Amsar,PCL,SDO21312,1146,"2136/4,LIG II F.FLOOR ABC HR IND",29.6661718/76.9971418,GP4456741,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2668130/ L6120762,6130195,L6120701,E2668131/,#899101000090101626,#8637090242317,0,0,18045,,0,0,1,1,,0,1,gmail.com,,2131201UMD251520,123,Out,,,,0,903439287
1755520000,L&T,MOHINDER DEVI,829508708,Pun,Amsar,PCL,SDO21312,1146,"2146/4,FF H.B.,KNL ABC HR IND",29.666554/76.9968406,GP4456809,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2668149,6131837,L6120640,E266801/,#899101000090101627,#8637090243959,0,0,11906,,0,0,1,1,,0,1,@gmail.com,OK,285911,123,Out,,,,0,829508708
871110054,L&T,REKHA RANI.W/O.RAHUL,999231553,Pun,Amsar,PCL,SDO21312,1146,H.N.2149.G.F L.I.G.SEC.4 ABC ABC HR-132001 IND,29.6680166/76.9965271,GP4456810,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2668135/L6120765,6132421,L6120575,E2668136/,#899101000090101625,#8637090242655,0,0,702,,0,0,1,1,,0,1,gmail.com,,74340307,123,Out,,,,0,999231553
5258420000,L&T,MAHAVIR YADAV,989609392,Pun,Amsar,PCL,SDO21312,1146,"2137/4,G.F.,TYPE-II H.B. ABC HR IND",29.6663006/76.9971623,GP4457029,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2668126/L6122060,6132440,L6122293,E2668127/,#89910100010162125,#8637090242622,0,0,13466,,0,0,1,1,,0,1,gmail.com,,485060,123,Out,,,,0,989609392
3674520000,L&T,KAPTAN,931589512,Pun,Amsar,PCL,SDO21312,1146,"#2151/4,G.F.,HBC KNL ABC HR IND",29.6671734/76.9969426,GP4457028,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2668132,Na,L6121950,E2668143/,#899101000090162323,#8637090242071,0,0,12038,,0,0,1,1,,0,1,@gmail.com,,11817365,123,Out,,,,0,931589512
1603220000,L&T,RAJAN DHAWAN,870861369,Pun,Amsar,PCL,SDO21312,1146,#2135/4 F.F. KNL ABC HR IND,29.6662407/76.9970736,GP4457033,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,L6122517/ E2668794,6130351,L6122502,E2668795/,#899101000090101621,#8637090242101,0,0,5052.68,,0,0,1,1,,0,1,gmail.com,,561870,123,Out,,,,0,870861369
6945520000,L&T,KULDEEP,895086345,Pun,Amsar,PCL,SDO21312,1146,#1763/4 G.F.HBC ABC HR IND,29.6680166/76.9965271,GP4456745,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,L6120275/E2668793,6132153,L6120520,E2668792/,#899101000090101621,#8637090243854,0,0,9301,,0,0,1,1,,0,1,gmail.com,,5345942,123,Out,,,,0,895086345
4197910000,L&T,MANOJ KUMAR,720643400,Pun,Amsar,PCL,SDO21312,1146,"1822/4,F.F. H.B.,KNL ABC HR IND",29.6680166/76.9965271,GP4456740,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,L6120721/E2668790,6130140,L6120535,E2668791/,#899101000090101621,#8637090243963,0,0,9959,,0,0,1,1,,0,1,gmail.com,,424754,123,Out,,,,0,720643400
794320000,L&T,GHANSHYAM DASS,921558271,Pun,Amsar,PCL,SDO21312,1146,S/O PRITAM PAL #2146 SEC4 KNL ABC HR IND,29.6671734/76.9969426,GP4456807,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2668145,6132459,L6120427,E266802/,#899101000090101623,#8637090241854,0,0,4299,,0,0,1,1,,0,1,@gmail.com,,2131201UMD253362,123,Out,,,,0,921558271
2755520000,L&T,RANDHIR SINGH,972956260,Pun,Amsar,PCL,SDO21312,1146,#2148/4 F.F. KNL ABC HR IND,29.6665687/76.9968077,GP4456765,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2668134,6130336,L6120279,E2668144/,#899101000090101621,#8637090243092,0,0,8384,,0,0,1,1,,0,1,@gmail.com,,552445,123,Out,,,,0,972956260
4303948511,L&T,RAM KUMAR,903424919,Pun,Amsar,PCL,SDO21312,1146,2147 G/F SEC 4 ABC ABC HR-132001 IND,29.6666715/76.9968422,GP4456806,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2668142,6131892,L6120508,E2668146/,#899101000090101624,#8637090242748,0,0,4319,,0,0,1,1,,0,1,@gmail.com,,6769268,123,Out,,,,0,903424919
755520000,L&T,SUKHDEV SHARMA,999111414,Pun,Amsar,PCL,SDO21312,1146,#2145/4 G.F. KNL ABC HR IND,29.6666125/76.996922,GP4456808,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2668139/L6120665,6132418,L6120607,E2668138/,#899101000090101621,#8637090241547,0,0,9968,,0,0,1,1,,0,1,@gmail.com,,2131201UMD252517,123,Out,,,,0,999111414
2703220000,L&T,SHANTI DEVI,999648547,Pun,Amsar,PCL,SDO21312,1146,"H.NO.2151/4,F.F. H.B.,KNL ABC HR IND",29.6671734/76.9969426,GP4456811,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2666833,6130272,L6120542,E2668148/,#899101000090101622,#8637090242712,0,0,9169,,0,0,1,1,,0,1,@gmail.com,,6515574,123,Out,,,,0,999648547
3229710000,L&T,KRISHAN GOPAL,925527575,Pun,Amsar,PCL,SDO21312,1113,BHAGAT RAM HN.2133 G.F S/4 ABC HR IND,29.6662022/76.997209,GP4457031,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,L6122299/E2668796,6139620,L6122476,E2668797/,#899101000090101623,#8637090242530,0,0,4041.5,,0,0,1,1,,0,1,gmail.com,,6096729,123,Out,,,,0,925527575
450220000,L&T,TUSHAR,999299931,Pun,Amsar,PCL,SDO21312,1146,"2142/4,LIG,F.FLOOR H.B,KNL ABC HR IND",29.6659619/76.9970265,GP4457174,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,L6122014/ E2668730,6130181,L6122091,E2668800/,#899101000090101622,#8637090243479,0,0,6153,,0,0,1,1,,0,1,@gmail.com,OK,6513827,123,,,,,0,999299931
2855780000,L&T,SUBASH CHANDER C/O KESHI RAM,989661404,Pun,Amsar,PCL,SDO21312,1146,H.NO-2148 SECTOR-4 ABC ABC ABC HR-132001 IND,29.6680166/76.9965271,GP4456767,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2668150,6132453,L6120107,E2668103/,#899101000090101622,#8637090241832,0,0,5780,,0,0,1,1,,0,1,@gmail.com,,6515795,123,Out,,,,0,989661404
4326020000,MI Hold By L&T,SANJEEV KUMAR,839786340,Pun,Amsar,PCL,SDO21312,1146,H.N. 2150/4 F.FLOOR LIG ABC HR IND,29.6665638/76.9968415,GP4456769,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2668141,6131832,L6120646,E2668140/,#899101000090101622,#8637090243869,0,0,26249,,0,0,1,1,,0,1,@gmail.com,New Meter Photo,256947,123,Out,,,,0,839786340
2603220000,MI Hold By L&T,SHIKHA GOYAL,822106677,Pun,Amsar,PCL,SDO21312,1146,#2136/4 G.F. HBC ABC HR IND,29.6662882/76.9971695,GP4457030,SDO21312,SDO21312,XYZ,11-Mar-19,123,1-Phase,SKM-145,E2668128/L6122140,NA,L6122500,E2668129/,#899101000090101621,#8637090242845,0,0,2500,,0,0,1,1,,0,1,gmail.com,sticker N/A,6349927,123,Out,,,,0,822106677
